aircraft_type,altitude_bin,number_struck,number_struck_actual,flight_date,engines,origin_state,flight_phase,wildlife_size,conditions_sky,wildlife_species,pilot_warned,altitude,is_high_altitude,flight_year,flight_month,airport_name_clean,latitude,longitude,elevation_ft,nearest_turbine_km,state_abbr,Station_ID,avg_temp_c,avg_humidity_pct,avg_wind_speed_kmh,avg_visibility_km,total_precip_mm,avg_pressure_hpa,is_migration_season,risk_level,risk_target
Airplane,"(1000, 2000]",1,1,2002-09-11,2.0,New York,Approach,Small,Some Cloud,Unknown bird - small,False,2000,False,2002,9,LAGUARDIA NY,40.777199,-73.872597,21.0,268.82670826154464,NY,KJFK_New_York,3.433333333333333,54.333333333333336,9.933333333333332,15.766666666666667,0.0,1014.3333333333334,1,Low,0
Airplane,"(-1, 0]",1,1,2002-09-12,2.0,New York,Landing Roll,Medium,No Cloud,Unknown bird - medium,True,0,False,2002,9,JOHN F KENNEDY INTL,40.639447,-73.779317,13.0,285.81600722845906,NY,KJFK_New_York,19.4,49.5,17.4,10.45,0.0,1011.9,1,High,2
Airplane,"(-1, 0]",1,1,2002-09-15,2.0,Illinois,Take-off run,Small,Some Cloud,Unknown bird - small,True,0,False,2002,9,QUAD CITY ARPT,39.6431007385,-89.14450073239999,630.0,33.991848342153304,IL,KORD_Chicago,16.35,89.0,16.35,16.1,0.0,1022.3,1,Medium,1
Airplane,"(-1, 0]",1,1,2002-09-15,2.0,New York,Landing Roll,Medium,Overcast,Mallard,True,0,False,2002,9,WESTCHESTER COUNTY ARPT,41.06700134277344,-73.70760345458984,439.0,243.3503200617849,NY,KJFK_New_York,8.5,44.5,11.0,15.05,0.0,1015.25,1,Medium,1
Airplane,"(30, 50]",1,1,2002-09-17,2.0,Illinois,Approach,Small,No Cloud,Killdeer,False,50,False,2002,9,DUPAGE AIRPORT,41.90779877,-88.24859619,759.0,32.15621751349237,IL,KORD_Chicago,25.166666666666668,50.66666666666666,10.133333333333333,11.533333333333331,0.0,1009.3666666666668,1,Medium,1
Airplane,"(200, 400]",1,1,2002-09-18,2.0,Illinois,Approach,Small,Overcast,European starling,False,300,False,2002,9,GREATER ROCKFORD,42.1954,-89.097198,742.0,37.23938268045538,IL,KORD_Chicago,15.75,44.0,5.050000000000001,13.95,0.0,1011.45,1,Low,0
Airplane,"(2000, 3000]",1,1,2002-09-25,2.0,Illinois,Approach,Small,No Cloud,Unknown bird - small,False,2500,False,2002,9,CHICAGO MIDWAY INTL ARPT,41.785999,-87.752403,620.0,8.607490552607114,IL,KORD_Chicago,2.6499999999999995,43.0,8.75,13.15,0.0,1009.8,1,Low,0
Airplane,"(0, 10]",1,1,2002-09-26,4.0,Illinois,Climb,Medium,No Cloud,Unknown bird - medium,False,10,False,2002,9,ABRAHAM LINCOLN CAPITAL ARPT,39.844101,-89.677902,598.0,24.88369746449472,IL,KORD_Chicago,12.1,59.5,11.15,11.65,0.0,1016.85,1,High,2
Airplane,"(-1, 0]",1,1,2002-09-27,2.0,New York,Take-off run,Medium,Overcast,Ring-billed gull,True,0,True,2002,9,ALBANY INTL,42.748299,-73.801697,285.0,94.50065050780267,NY,KJFK_New_York,17.95,47.5,5.6,11.3,0.0,1010.0,1,Medium,1
Airplane,"(-1, 0]",1,1,2002-09-27,2.0,New York,Landing Roll,Medium,Overcast,Ring-billed gull,True,0,True,2002,9,ALBANY INTL,42.748299,-73.801697,285.0,94.50065050780267,NY,KJFK_New_York,17.95,47.5,5.6,11.3,0.0,1010.0,1,High,2
Airplane,"(1000, 2000]",1,1,2002-09-27,2.0,Illinois,Climb,Small,No Cloud,Unknown bird - small,False,1200,True,2002,9,CHICAGO MIDWAY INTL ARPT,41.785999,-87.752403,620.0,8.607490552607114,IL,KORD_Chicago,18.85,79.0,8.15,10.3,0.5,1009.25,1,Medium,1
Airplane,"(1000, 2000]",1,1,2002-09-28,2.0,New York,Climb,Large,Some Cloud,Double-crested cormorant,True,1500,True,2002,9,JOHN F KENNEDY INTL,40.639447,-73.779317,13.0,285.81600722845906,NY,KJFK_New_York,5.0,66.33333333333333,12.3,13.766666666666666,0.0,1019.9666666666666,1,Medium,1
Airplane,"(1000, 2000]",1,1,2002-09-30,1.0,Colorado,Approach,Small,No Cloud,Unknown bird - small,False,1300,False,2002,9,MEADOW LAKE ARPT,38.945801,-104.57,6874.0,22.628429608194832,CO,KDEN_Denver,15.7,50.0,17.95,10.6,0.0,1010.45,1,Medium,1
Airplane,"(3000, 5000]",1,1,2002-09-30,3.0,Illinois,Climb,Medium,No Cloud,Unknown bird - medium,False,4000,False,2002,9,WAUKEGAN REGIONAL ARPT,42.422199249268,-87.867897033691,727.0,47.79741233555611,IL,KORD_Chicago,5.65,64.5,6.550000000000001,14.75,0.9,1014.85,1,Low,0
Airplane,"(600, 1000]",1,1,2002-10-02,2.0,Illinois,Approach,Medium,Overcast,Unknown bird - medium,True,700,False,2002,10,CHICAGO O'HARE INTL ARPT,41.9786,-87.9048,680.0,4.16460023622371,IL,KORD_Chicago,17.55,74.0,6.6,10.9,0.0,1021.05,1,Medium,1
Airplane,"(5000, 18000]",1,1,2002-10-02,2.0,New York,Descent,Medium,No Cloud,Unknown bird - medium,False,9000,True,2002,10,JOHN F KENNEDY INTL,40.639447,-73.779317,13.0,285.81600722845906,NY,KJFK_New_York,6.15,73.0,14.85,12.05,0.0,1012.65,1,Low,0
Airplane,"(2000, 3000]",1,1,2002-10-03,2.0,New York,Approach,Large,Overcast,Unknown bird - large,False,3000,False,2002,10,WESTCHESTER COUNTY ARPT,41.06700134277344,-73.70760345458984,439.0,243.3503200617849,NY,KJFK_New_York,11.3,42.66666666666666,16.0,15.5,0.3,1013.8666666666668,1,Medium,1
Airplane,"(-1, 0]",1,1,2002-10-06,2.0,New York,Landing Roll,Medium,Overcast,Ring-billed gull,True,0,False,2002,10,JOHN F KENNEDY INTL,40.639447,-73.779317,13.0,285.81600722845906,NY,KJFK_New_York,9.15,72.5,9.95,16.1,0.0,1008.3,1,Medium,1
Airplane,"(3000, 5000]",1,1,2002-10-08,2.0,New York,Descent,Medium,No Cloud,Unknown bird - medium,False,4000,True,2002,10,LAGUARDIA NY,40.777199,-73.872597,21.0,268.82670826154464,NY,KJFK_New_York,21.2,74.0,2.9000000000000004,12.9,0.0,1013.7,1,Low,0
Airplane,"(2000, 3000]",1,1,2002-10-13,2.0,Illinois,Climb,Medium,No Cloud,Unknown bird - medium,False,3000,True,2002,10,CHICAGO MIDWAY INTL ARPT,41.785999,-87.752403,620.0,8.607490552607114,IL,KORD_Chicago,3.0,77.0,7.65,14.15,3.4,1013.0,1,Medium,1
